2020-08-03	559540	Roni Wiener	Peer coaching	Roni is inviting everyone to practice some peer coaching and feedback. This is a great opportunity to think about how you can help others collaborate more effectively and care for everyone's needs. Wouldn't it be wonderful to share and integrate CF principles with everyone in our lives?	JTvR4JQSICw	roni
2020-12-03	558320	Paul Kahawatte	Thresholds	In this session we will look at and practice using a couple of the key variables within thresholds, and we may explore how to use thresholds in sequence.	SNwfeX5kY9o	paul,thresholds
2020-06-03	560150	Neil Howard	Noncontroversial Essence		wOCw0A574a4	neil,nce
2020-11-05	558600	Magda Baranska	Practice - Facilitated Role Plays with Support	You will have an opportunity to sit in the facilitator chair and practice your skills related to holding a Convergent Facilitation process. Please bring your own situation(s) so we can work with real life examples. We will practice the whole process or certain phases depending on your preference. You will be able to dial the difficulty level to best serve your learning. And you will have lots of support. 	N53QFZtxZ84	magda,role_play
2020-10-05	558910	Neil Howard	Noncontroversial essence	Sometimes people have strategies that are diametrically opposed to each other. When does it make sense to find the noncontroversial essence underlying each of them and when does it make sense to find a noncontroversial essence that applies to both of them?	0eIWPpVtQQk	neil,nce
2020-07-06	559820	Aya Caspi	Noncontroversial essence	Sometimes people have strategies that are diametrically opposed to each other. When does it make sense to find the noncontroversial essence underlying each of them and when does it make sense to find a noncontroversial essence that applies to both of them?	j9RMLDuXkkU	aya,nce
2020-05-06	560430	Mariam Gafforio	Process Arc and non-linear application	On this call, Mars explores the Convergenet Facilitation process arc and non-linear applications. While CF has distinct phases, in real life they often don’t unfold in order. Mars offers examples of how the process may flow and how to remain flexible when planning and facilitating. 	OlkZKEM7X7s	mariam,process,application
2020-12-07	558280	Aya Caspi	How to compensate for power differences interfering with collaboration	In this session we will explore how to attend to power differences as CF facilitators so that real collaboration can happen at every phase of the process, resulting in a robust decision that includes all needs and truly works for all. 	dUDOmWWf8gY	aya,power_differences
2020-09-07	559190	Paul Kahawatte	Open coaching call	Paul will be leading a practice session on finding the Noncontroversial Essence. This is a chance to develop your capacity, flow, and confidence in a key part of Convergent Facilitation.	jFdqy5KiAOU	paul
2020-11-09	558560	Roni Wiener	Growing your Convergent Facilitation skills through feedback	How are you doing as a Convergent Facilitator? Are you aware of your strengths and challenges? What is your plan for growing your skills over time? In this session we'll play with different approaches to self-assessment and feedback so you can discover what works best for you. We'll also practice how to prioritize and integrate learnings so you can get the most out of future coaching calls and CF activities.	WWktBL0bfCQ	roni
