date	sidebar_position	coach	title	description	youtube_id	tags
2022-11-16	551190	Roni Wiener and Magda Baranska	Using CF in your daily life	We get opportunities for integration every day. How do you support your family in resolving disagreements about what to do? What do you do when people at work keep arguing about the best way to finish a project? Bring your small and big decisions to explore how to apply CF and find solutions that work for everyone. 	tpKTDFSNWq4	
2022-10-26	551400	Verene Nicolas	Navigating Power Dynamics	Unless we attend to power differences, we are likely to miss the needs, perspectives, ideas, and concerns of the people with less power. Finding ways of inviting and integrating them leads to wiser and more robust solutions.	tpKTDFSNWq4	
2022-09-20	551760	Roni Wiener	Connecting with outliers	What can we do when someone in the group is creating challenges for us? Bring your experiences with people that frustrate you, don't make sense, or you just wish would talk less often. We'll explore how to tranform our relationships with outliers and navigate judgements that come up for us.  	tpKTDFSNWq4	
2022-08-17	552100	Verene Nicolas	Making Transparent Transitions	We will look at how to navigate transitions when we choose to intervene to shift the direction. This will include role playing different scenarios with coaching.	tpKTDFSNWq4	
2022-07-27	552310	Lisa Rothman	Convergent Facilitation at home	How can we experience more harmony and happiness on a daily basis? How can we teach children to collaborate? How can we transform longstanding conflicts with our partners into dilemmas that we are motivated to solve together? Practicing Convergent Facilitaiton at home can help. Bring the situations that annoy you the most and we'll see what's possible.	tpKTDFSNWq4	
2022-06-15	552730	Verene Nicolas	Noncontroversial Essences	Get ready to role play! We'll plan to play a simple game to practice distilling the Noncontroversial Essence of someone's position. I'll bring a low-stakes scenario so we can practice this essential Convergent Facilitation skill in a relaxed and supportive setting.	tpKTDFSNWq4	
2022-04-24	553250	Roni Wiener	One-on-one CF Coaching 	One-on-one CF Coaching on real-group scenarios brought by participants that they are needing coaching to share CF in their communities.	tpKTDFSNWq4	
2022-04-20	553290	Verene Nicolas	Engaging with Dissent	Facilitation is an art and requires reading the room very quickly and in detail. This is especially true when it comes to dissent, because often people feel either vulnerable or agitated while sharing a different perspective or concerns. In this session we will practice what it would be like to follow your intuition and how to follow it while facilitating. Please bring your own situation(s) so we can work with real life examples.	tpKTDFSNWq4	
2022-04-10	553390	Roni Wiener	Roni coaching Michael on applying CF while mediating 	Roni coaches Michael one-on-one on sharing CF while mediating a dispute between a US Government employee and his management. 	tpKTDFSNWq4	
2022-03-15	553650	Magda Baranska	The power of reflecting back and curiosity 	The CF facilitation is a process of discovery of what’s important for a group and how this can be attended to. Curiosity and reflecting back support me in this discovery. You are invited to explore together in what ways it could be supportive for you and what are the ways you would like to express your curiosity and reflect back what you heard.  Note, English is Magda's second language and sometimes it is a stretch for her to express herself precisely and understand others instantly. Making it visible helps Magda to relax. (for CF Newsletter and Cf Website)	tpKTDFSNWq4	
2022-02-27	553810	Roni Wiener	Roni on CF with Housing Colony with Menaka	Roni coaches Menaka one-on-one on 4th Sundays of the month to facilitate CF at the Housing Colony she lives in. Note, Scheduled call can cancel/change depending on Roni and Menaka's needs so please check the website schedule before joining the call.	tpKTDFSNWq4	
2022-02-16	553920	Verene Nicolas	Thresholds of requests	Formulating threshold questions is one of the most playful parts of CF as we learn to discern what level of stretch we can create to gather the exact amount and quality of information to move the decision making process.	tpKTDFSNWq4	
2022-01-31	554080	Paul Kahawatte	Paul coaching Rachel on framing the question for the high school Rachel’s son studies in	Paul coaches Rachel one-on-one to share CF at the High School her son studies in	tpKTDFSNWq4	
2022-01-18	554210	Roni Wiener	Roni on CF with Housing Colony with Menaka	Roni coaches Menaka one-on-one on 4th Sundays of the month to facilitate CF at the Housing Colony she lives in. 	tpKTDFSNWq4	
2021-12-06	554640	Mariam Gafforio	Non-Controversial Essence Role Play	Get ready to role play! We'll plan to play a simple game to practice distilling the Noncontroversial Essence of someone's position. I'll bring a low-stakes scenario so we can practice this essential Convergent Facilitation skill in a relaxed and supportive setting. 	tpKTDFSNWq4	
2021-11-22	554780	Neil Howard	Open Session	Folks are encouraged to bring whatever examples/topics/issues they want to practice and we’ll craft a session plan out of that!	tpKTDFSNWq4	
2021-11-20	554800	Verene Nicolas	The art of transparent facilitation	One of the key skills of CF is to be transparent about the choices we make as the process is unfolding. This builds trust as we model collaboration by involving people in when and how to transition from one step to the next. However, there are potential pitfalls when revealing what lives in us in any particular moment. In this session, we'll practice how to express transparently as well as explore when to be transparent or not.	tpKTDFSNWq4	
2021-11-16	554840	Roni Wiener & Magda Baranska	Getting started with CF!	Let's talk about how to get started in supporting collaborative decision-making. How do you find opportunities to apply CF? How do you know what to do? What if it doesn't go well? Bring your challenges and fears!	tpKTDFSNWq4	
2021-10-28	555030	Paul Kahawatte	Challenges with Noncontroversial Essences	In this call we will look at the challenges of finding NCEs, in a practical way. Using scenarios, we will have space to slow down those more difficult moments and practice finding the Noncontroversial Essence together.	tpKTDFSNWq4	
2021-10-18	555130	Mariam Gafforio	Everyday CF	Convergent Facilitation principles and practices aren't only for big fancy meetings or professional facilitators, we can apply them in our every day lives too! Whether you are making decisions with your family or figuring something out with your co-workers, CF can be helpful even when it isn't a formal process. Bring questions and ideas from everyday life and we'll explore them together.	tpKTDFSNWq4	
2021-10-13	555180	Magda Baranska	Engaging with Outliers	We will be exploring how it is to be an outlier and extracting from the wisdom of your experience  ideas or principles about how to engage with outliers so that it serves everyone (outlier, group and facilitator). This CC is offered by Magda in English which is their second language and is a stretch for them.	tpKTDFSNWq4	
2021-09-29	555320	Verene Nicolas	Engaging with Power Differences	Unless we attend to power differences, we are likely to miss the needs, perspectives, ideas, and concerns of the people with less power. Finding ways of inviting and integrating them leads to wiser and more robust solutions.	tpKTDFSNWq4	
2021-09-21	555400	Aya Caspi	Cultivating Willingness	We will explore the practical tools that support us as CF facilitators in increasing willingness and how to apply them to situations brought by participants.	tpKTDFSNWq4	
2021-09-14	555470	Lisa Rothman	CF for large multi-stakeholder groups	Interested in facilitating a large (25 person or more) multi-stakeholder group decision? Already in the middle of one?  Bring your questions, challenges and concerns.  Possiblilites of what we can cover include coming up with strategies for getting as much alignment as possible before the first meeting, what to say to kick off that first meeting, how to keep things moving forward with large groups of people, and what to do if there's only token or no representation of a particular stakeholder group.	tpKTDFSNWq4	
2021-08-23	555690	Mariam Gafforio	Noncontroversial Essences	Get ready to role play! We'll plan to play a simple game to practice distilling the Noncontroversial Essence of someone's position. I'll bring a low-stakes scenario so we can practice this essential Convergent Facilitation skill in a relaxed and supportive setting.	tpKTDFSNWq4	
2021-08-18	555740	Verene Nicolas	Noncontroversial Essences	Get ready to role play! We'll plan to play a simple game to practice distilling the Noncontroversial Essence of someone's position. I'll bring a low-stakes scenario so we can practice this essential Convergent Facilitation skill in a relaxed and supportive setting.	tpKTDFSNWq4	
2021-08-14	555780	Verene Nicolas	CF challenges and Phase 2, Forming a committee and proposal creation?	In this call, we’ll engage with participants’ own CF challenges, as well as explore specific issues and questions surrounding Phase 2’s committee formation and proposal creation.	tpKTDFSNWq4	
2021-07-26	555970	Mariam Gafforio	Everyday Convergent Facilitation	Convergent Facilitation isn't only for big important meetings and professional facilitators! Convergent Facilitation principles can be useful for everyday life, whether you're making plans with your kids, coming up with solutions with your spouse, or guiding a tense PTA meeting from the sidelines. Bring your questions and stories from daily life and we'll look at them together.	tpKTDFSNWq4	
2021-07-20	556030	Roni Wiener	Interrupting with care	How often do you find yourself wishing that someone would finish talking, and yet you continue to just listen without doing anything about it? As facilitators, it's critical for us to know when and how to interrupt, and to stregthen our ability to actually interrupt, even when it feels uncomfortable. Let's explore how to navigate those moments with effectiveness and care. 	tpKTDFSNWq4	
